OFFENSE_ID,GEO_LON,GEO_LAT,IS_CRIME
201870000000000.0,-104.9992195,39.7339524,1
201871000000000.0,-104.958432,39.6980939,1
201872000000000.0,-104.9843787,39.7875689,1
201872000000000.0,-104.90629309999998,39.7010762,1
2018250000000000.0,-104.8836219,39.6476778,1
2018260000000000.0,-104.7720769,39.77799520000001,1
20181900000000.0,-104.9043554,39.6760454,1
2018700000000.0,-105.0200062,39.7172709,1
2016510000000000.0,-104.7577499,39.7853097,1
2018160000000000.0,-104.97521670000002,39.7389815,1
2018160000000000.0,-104.9932939,39.74258010000001,1
2018140000000000.0,-104.8890436,39.6502593,1
2018130000000000.0,-104.9967289,39.727732,1
201857000000000.0,-104.9973575,39.73973970000001,1
201828000000000.0,-104.9798198,39.7138222,1
20187300000000.0,-105.0354361,39.78084970000001,1
20184300000000.0,-104.9274738,39.7029684,1
20184800000000.0,-104.9810392,39.7512868,1
2018230000000000.0,-104.9405199,39.7837724,1
2018420000000000.0,-105.0532135,39.6533454,1
20184100000000.0,-104.8951791,39.6269223,1
2018230000000000.0,-105.024258,39.7444883,1
2018230000000000.0,-105.023053,39.6659844,1
2018350000000000.0,-104.9756408,39.7393347,1
2018340000000000.0,-105.02895890000002,39.7117177,1
2018170000000000.0,-104.9546297,39.7241237,1
2018170000000000.0,-104.991846,39.746582,1
2018420000000000.0,-104.9156832,39.7748697,1
2018160000000000.0,-104.8961164,39.7396645,1
2018430000000000.0,-105.0520531,39.71332329999999,1
201882000000000.0,-105.0136726,39.7114715,1
2018250000000000.0,-104.8118072,39.784647,1
2018250000000000.0,-104.9489221,39.7790847,1
201881000000000.0,-104.8968047,39.770857,1
2018250000000000.0,-104.9061449,39.7009491,1
2018250000000000.0,-105.0286447,39.7002932,1
201881000000000.0,-104.9593215,39.6965825,1
201884000000000.0,-104.9956806,39.750903,1
2018250000000000.0,-104.9974319,39.74920570000001,1
2018300000000000.0,-104.9712365,39.7603602,1
2018250000000000.0,-104.9413594,39.7918336,1
2018240000000000.0,-104.8873294,39.7392814,1
2018310000000000.0,-105.023607,39.7560377,1
2018250000000000.0,-104.88671370000002,39.7369008,1
2018250000000000.0,-104.8925462,39.7429487,1
2018310000000000.0,-105.01603459999998,39.70554050000001,1
2017510000000000.0,-105.0532122,39.74397860000001,1
2018220000000000.0,-104.9333904,39.7805456,1
2018420000000000.0,-104.99966940000002,39.7486415,1
2018220000000000.0,-104.9581906,39.757907,1
2018220000000000.0,-104.9355658,39.7291126,1
2018440000000000.0,-104.9962563,39.7356199,1
2018210000000000.0,-105.0451473,39.7729539,1
2018210000000000.0,-104.95444840000002,39.7414978,1
2018210000000000.0,-105.0131459,39.679805,1
2018460000000000.0,-104.8890982,39.7403311,1
201813000000000.0,-104.9634809,39.7368202,1
2018460000000000.0,-104.9193928,39.6770705,1
2018460000000000.0,-104.9409662,39.7652908,1
201812000000000.0,-105.0485241,39.7286724,1
2018430000000000.0,-105.0398943,39.6989953,1
2018430000000000.0,-104.97801,39.7549768,1
201814000000000.0,-105.0248808,39.66516,1
201816000000000.0,-105.0336063,39.738744200000006,1
201839000000000.0,-104.9711148,39.739718,1
2018430000000000.0,-104.9021799,39.7817364,1
2018140000000000.0,-105.0408769,39.6569052,1
201813000000000.0,-105.0254635,39.6824799,1
201876000000000.0,-105.0575107,39.6821107,1
2018320000000000.0,-104.8157949,39.7924174,1
2018180000000000.0,-105.0244074,39.6679226,1
2018110000000000.0,-104.7364299,39.7802648,1
2018110000000000.0,-104.95521,39.73775670000001,1
2018220000000000.0,-104.9520331,39.7684422,1
2018110000000000.0,-104.9618837,39.746177,1
2018110000000000.0,-104.9517137,39.735138,1
2018320000000000.0,-104.8718383,39.6719421,1
201878000000000.0,-104.7690786,39.78506210000001,1
201876000000000.0,-104.9262422,39.7071106,1
2018110000000000.0,-105.0283317,39.7331119,1
2018110000000000.0,-104.88554750000002,39.76001820000001,1
2018260000000000.0,-105.04483,39.6749931,1
2018260000000000.0,-104.9372361,39.6853439,1
2018180000000000.0,-104.9928624,39.7530679,1
2018320000000000.0,-105.007371,39.76961470000001,1
2018320000000000.0,-104.8933697,39.7328531,1
2018320000000000.0,-104.9621544,39.7424199,1
201895000000000.0,-104.9123586,39.7262592,1
2016790000000000.0,-105.0208247,39.7317144,1
2018220000000000.0,-104.8867168,39.733288,1
2018320000000000.0,-104.9765908,39.746883,1
2018320000000000.0,-105.0037524,39.7114081,1
2018100000000000.0,-105.037758,39.7567859,1
2018200000000000.0,-105.0491176,39.7342393,1
2018200000000000.0,-104.7684403,39.7882564,1
2018400000000000.0,-104.9589718,39.679247,1
2018200000000000.0,-105.0250452,39.6849709,1
2018320000000000.0,-105.0002143,39.7480289,1
2018320000000000.0,-104.9978359,39.7543685,1
2018400000000000.0,-104.950881,39.7606541,1
2018200000000000.0,-104.9889145,39.7540583,1
2018390000000000.0,-104.882971,39.641327,1
2018400000000000.0,-105.0024072,39.7547421,1
2018190000000000.0,-104.8996017,39.7404401,1
2018200000000000.0,-104.9929788,39.7448409,1
2018120000000000.0,-105.0256377,39.6787909,1
2018120000000000.0,-105.0067413,39.7655738,1
2017160000000000.0,-104.9905297,39.7774822,1
2018200000000000.0,-104.9777831,39.6975692,1
2018400000000000.0,-104.9815358,39.7399099,1
2018120000000000.0,-105.0117267,39.7602249,1
2018410000000000.0,-104.9647061,39.7728984,1
