OFFENSE_CODE,OFFENSE_CATEGORY_ID,GEO_LON,GEO_LAT
5213,1,-104.8098811,39.773188
5213,1,-104.84118409999999,39.7846668
5213,1,-104.8247547,39.793246
5213,1,-104.96688020000002,39.764431
5213,1,-105.0372223,39.731790999999994
5213,1,-104.9843514,39.782089299999996
5213,1,-104.9562899,39.7667874
5213,1,-104.91670990000001,39.7652143
5213,1,-104.95551709999998,39.765065299999996
5213,1,-104.9733695,39.755313
5213,1,-104.8378704,39.7934248
5213,1,-104.9490365,39.7853499
5213,1,-104.83772940000001,39.7785969
5213,1,-104.97633770000002,39.731242
5213,1,-105.03728319999999,39.71123729999999
5213,1,-104.77068249999999,39.7834331
5213,1,-105.04514640000002,39.7007316
5213,1,-105.0311713,39.7237289
5213,1,-104.8290463,39.791414700000004
5213,1,-104.7527978,39.7771963
5213,1,-105.02748729999999,39.6573682
5213,1,-104.9621217,39.767075
5213,1,-104.9017381,39.7330304
5213,1,-104.9507787,39.7655456
5213,1,-104.94744779999999,39.7733732
5213,1,-104.8218387,39.798178899999996
5213,1,-104.9561686,39.7672919
5213,1,-104.82467249999999,39.7929216
5213,1,-104.8878789,39.7419115
5213,1,-104.8983594,39.7414138
5213,1,-104.89251770000001,39.739668
5213,1,-104.9935394,39.773586
5213,1,-105.0214675,39.7912393
5213,1,-105.00949979999999,39.7841513
5213,1,-105.0242402,39.6973243
5213,1,-105.00772930000001,39.7038972
5213,1,-104.8470371,39.7740066
5213,1,-104.98110109999999,39.782805200000006
5213,1,-105.0475457,39.7260277
5213,1,-105.03808070000001,39.7261666
5213,1,-105.03078500000001,39.6874153
5213,1,-104.8157949,39.7924174
5213,1,-105.035799,39.756665600000005
5213,1,-105.0491652,39.7024903
5213,1,-104.9916478,39.7498782
5213,1,-104.9638014,39.768853299999996
5213,1,-104.98810320000001,39.755076
5213,1,-105.02840859999999,39.7132199
5213,1,-104.932259,39.7642883
5213,1,-104.9282847,39.7622266
5213,1,-104.9266769,39.761779499999996
5213,1,-104.9473402,39.774391200000004
5213,1,-104.79047840000001,39.7836364
5213,1,-104.94941709999999,39.7731409
5213,1,-105.03504240000001,39.707171
5213,1,-105.03020259999998,39.6804591
5213,1,-105.04410590000002,39.7175534
5213,1,-104.89559740000001,39.738409999999995
5213,1,-105.0140793,39.6999704
5213,1,-104.8430375,39.7919273
5213,1,-104.9939481,39.74653060000001
5213,1,-104.8932034,39.7397401
5213,1,-104.83074079999999,39.7980596
5213,1,-104.9886405,39.7545595
5213,1,-104.91196880000001,39.685385
5213,1,-105.04826750000001,39.70006
5213,1,-104.99843290000001,39.746494899999995
5213,1,-105.02547870000001,39.7170213
5213,1,-104.84772009999999,39.7724895
5213,1,-105.0447683,39.7233979
5213,1,-104.8324086,39.7787755
5213,1,-104.96931029999999,39.7596597
5213,1,-104.99949299999999,39.7489372
5213,1,-105.02053159999998,39.7548255
5213,1,-104.9999509,39.753054299999995
5213,1,-104.9013949,39.7465739
5213,1,-105.00389990000001,39.7770122
5213,1,-104.88549909999999,39.74605820000001
5213,1,-105.0246916,39.7072751
5213,1,-104.903456,39.7266975
5213,1,-104.82841429999999,39.7897749
5213,1,-105.02122220000001,39.709945899999994
5213,1,-105.044063,39.6962608
5213,1,-105.0357203,39.71322429999999
5213,1,-105.0146304,39.7081619
5213,1,-104.88902920000001,39.738862
5213,1,-104.9300351,39.768310299999996
5213,1,-104.98323290000002,39.749438
5213,1,-104.9545254,39.7622248
5213,1,-104.8697303,39.70769979999999
5213,1,-105.0028268,39.733693200000005
5213,1,-104.74598459999999,39.775184499999995
5213,1,-105.0474285,39.6973499
5213,1,-104.953304,39.7614807
5213,1,-104.85232909999999,39.783454799999994
