OFFENSE_CODE,GEO_LON,GEO_LAT,IS_CRIME,IS_TRAFFIC
2099,-105.0140627,39.71930820000001,1,0
2007,-104.9073281,39.6778367,1,0
2007,-105.0433432,39.7418983,1,0
2005,-104.9890933,39.7417219,1,0
2006,-105.0484732,39.7398893,1,0
2099,-104.86579340000002,39.7685034,1,0
2099,-104.7989106,39.7837199,1,0
2099,-105.0166004,39.6641709,1,0
2007,-105.0066241,39.7210726,1,0
2099,-104.9920616,39.7123987,1,0
2099,-105.0197767,39.7227605,1,0
2007,-105.0386884,39.7278189,1,0
2007,-105.0381474,39.7203578,1,0
2099,-105.0273828,39.68767070000001,1,0
2007,-104.8395365,39.7820359,1,0
2005,-104.9871125,39.6887291,1,0
2006,-105.0294757,39.7486189,1,0
2099,-104.99162959999998,39.6797825,1,0
2005,-104.9151737,39.773253,1,0
2007,-104.98792179999998,39.6756924,1,0
2006,-105.0244176,39.75819600000001,1,0
2006,-105.0302749,39.721164,1,0
2006,-104.9600982,39.7688501,1,0
2099,-105.0147997,39.7335318,1,0
2099,-105.0109763,39.71482329999999,1,0
2006,-104.750797,39.77664,1,0
2009,-104.9861591,39.7510046,1,0
2099,-104.9942048,39.7380653,1,0
2099,-104.9325157,39.6943423,1,0
2005,-104.9953325,39.770121,1,0
2005,-104.9930853,39.7458598,1,0
2005,-105.0056508,39.73810570000001,1,0
2006,-104.9537764,39.7798376,1,0
2007,-105.0352542,39.7159869,1,0
2006,-105.0171133,39.710459,1,0
2007,-105.0256465,39.7831661,1,0
2007,-105.0065152,39.7830435,1,0
2007,-105.02715390000002,39.6303883,1,0
2007,-104.986541,39.7576196,1,0
2007,-104.928096,39.68026210000001,1,0
2005,-104.96144840000002,39.6787587,1,0
2006,-104.9313657,39.7323318,1,0
2005,-104.9230578,39.7399287,1,0
2006,-105.0320589,39.760151,1,0
2006,-105.005074,39.77247929999999,1,0
2005,-105.0055678,39.7857024,1,0
2006,-104.8989515,39.6972284,1,0
2006,-104.9531922,39.7137865,1,0
2006,-104.73892990000002,39.7777691,1,0
2006,-105.0489933,39.7270352,1,0
2099,-105.0830755,39.6365053,1,0
2099,-104.9509998,39.771825,1,0
2006,-105.0082605,39.69606160000001,1,0
2099,-105.033871,39.7417293,1,0
2007,-104.9730202,39.7497331,1,0
2006,-104.8055146,39.784083,1,0
2007,-105.0024327,39.7316051,1,0
2007,-105.0229051,39.7598782,1,0
2099,-105.0482903,39.7307496,1,0
2099,-104.9066252,39.75931370000001,1,0
2005,-104.9649474,39.7585336,1,0
2099,-104.9327315,39.6966659,1,0
2099,-104.8972731,39.74575120000001,1,0
2006,-104.9826439,39.7343144,1,0
2006,-104.8102507,39.7931152,1,0
2006,-105.0276035,39.7472662,1,0
2099,-104.8787926,39.7600376,1,0
2007,-105.0384821,39.738648100000006,1,0
2006,-105.0279326,39.737467,1,0
2007,-104.9083468,39.6526614,1,0
2099,-104.9990883,39.68908820000001,1,0
2007,-104.9490405,39.7843836,1,0
2007,-104.9343617,39.7558677,1,0
2005,-104.8501645,39.6577048,1,0
2006,-104.9012565,39.6365788,1,0
2099,-104.9951843,39.7225285,1,0
2007,-104.9470374,39.7248295,1,0
2007,-104.8972352,39.7439529,1,0
2005,-105.0441,39.6905672,1,0
2006,-104.8742605,39.6544725,1,0
2006,-104.9679298,39.6734705,1,0
2099,-105.0070833,39.7027635,1,0
2005,-105.0254786,39.70179870000001,1,0
2007,-105.0030272,39.6933629,1,0
2007,-105.0271478,39.7056735,1,0
2007,-105.0454101,39.6594732,1,0
2006,-104.9777466,39.717272,1,0
2006,-104.9675393,39.7610271,1,0
2006,-104.9550064,39.6939436,1,0
2099,-104.8346222,39.7749721,1,0
2099,-105.0642006,39.6564312,1,0
2006,-104.9839847,39.7371699,1,0
2099,-104.825637,39.7921694,1,0
2099,-105.0475691,39.7025556,1,0
2006,-105.029783,39.6672552,1,0
2006,-105.0067862,39.6975077,1,0
2007,-105.093177,39.6175429,1,0
2006,-104.8344246,39.7845437,1,0
2006,-104.7385389,39.7738079,1,0
2006,-104.9970731,39.7303058,1,0
2006,-104.88497350000002,39.7394888,1,0
2007,-104.9018757,39.6580974,1,0
2007,-104.8254124,39.7948035,1,0
2007,-105.0011874,39.7392207,1,0
2006,-104.9747985,39.7644391,1,0
2005,-105.00816770000002,39.7366778,1,0
2099,-104.9814082,39.75524160000001,1,0
2099,-105.0335115,39.68884,1,0
