Specs,Score
REPORTED_DATE,96690880391.86856
GEO_X,25287020480.88936
OFFENSE_CODE,4852999.00377536
OFFENSE_TYPE_ID,3518810.2687153267
OFFENSE_CATEGORY_ID,660390.1752359001
IS_TRAFFIC,342155.5011079113
OFFENSE_ID,94349.86171249131
PRECINCT_ID,15501.716120813408
DISTRICT_ID,3074.1184853571463
GEO_Y,-2546276136.09363
GEO_LAT,-15728234041.104385
GEO_LON,-25633275535.525635
